objective,context_level,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,L2,1,AXPY,64000000,5060ti,0.00035970532886700816,0.0002941970559887489,22.26680095696285
edp,L2,1,AXPY,128000000,5060ti,0.0014387344466159967,0.0011582701125356029,24.2140698482171
edp,L2,1,AXPY,256000000,5060ti,0.00566932976007011,0.0046359987183019645,22.28928661452749
edp,L2,1,CONV2D,1,3090,3.28425348182058e-05,3.28425348182058e-05,0.0
edp,L2,1,CONV2D,2,3090,2.8514451879983168e-05,2.8514451879983168e-05,0.0
edp,L2,1,CONV2D,3,3090,1.902564620912787e-05,1.902564620912787e-05,0.0
edp,L2,1,CONV2D,4,3090,3.06302219870345e-05,3.06302219870345e-05,0.0
edp,L2,1,CONV2D,5,3090,7.525681460350237e-05,7.525681460350237e-05,0.0
edp,L2,1,CONV2D,6,3090,0.00019440547304422603,0.00019440547304422603,0.0
edp,L2,1,GEMM,64,3090,4.388945450646253e-09,3.2196572837301353e-09,36.31716247641854
edp,L2,1,GEMM,128,3090,4.715168794591461e-09,3.9880664086007704e-09,18.23195281860408
edp,L2,1,GEMM,256,3090,1.4219059172952523e-08,1.4219059172952523e-08,0.0
edp,L2,1,GEMM,512,3090,1.6439557435146534e-07,1.6439557435146534e-07,0.0
edp,L2,1,GEMM,1024,3090,4.85357252115436e-06,4.85357252115436e-06,0.0
edp,L2,1,GEMM,2048,3090,0.00018654187247042487,0.00018654187247042487,0.0
edp,L2,1,GEMM,4096,3090,0.009484102459021381,0.009484102459021381,0.0
edp,L2,1,GEMM,8192,3090,0.5492014127291662,0.5492014127291662,0.0
edp,L2,1,GEMM,16384,3090,34.490732235375,34.490732235375,0.0
edp,L2,1,REDUCTION,1000000,5060ti,2.53995084832503e-09,2.53995084832503e-09,0.0
edp,L2,1,REDUCTION,2000000,5060ti,5.937504859192506e-09,5.937504859192506e-09,0.0
edp,L2,1,REDUCTION,4000000,5060ti,1.2523458227704728e-08,1.2523458227704728e-08,0.0
edp,L2,1,REDUCTION,8000000,5060ti,3.830514849069819e-08,3.830514849069819e-08,0.0
edp,L2,1,REDUCTION,16000000,5060ti,2.133993459525472e-06,2.0464620195041385e-06,4.27720813712158
edp,L2,1,REDUCTION,32000000,5060ti,7.952004454330369e-06,7.665195402159927e-06,3.7417056855409525
edp,L2,1,REDUCTION,64000000,5060ti,3.2096059002931066e-05,3.0250734289870027e-05,6.100098911248497
edp,L2,1,REDUCTION,128000000,5060ti,0.0001243857593682084,0.0001183328780741159,5.115130631996756
edp,L2,1,REDUCTION,256000000,5060ti,0.00048698148598830276,0.0004693833295610469,3.749207804996635
edp,L2,1,STREAM,1000000,5060ti,9.43437201399628e-09,9.43437201399628e-09,0.0
edp,L2,1,STREAM,2000000,5060ti,3.0583928131209865e-08,3.0583928131209865e-08,0.0
