workload,size,platform,configuration,threads,runtime,energy,edp,power,runtime_cv,energy_cv
CONV2D,1,AMD,16T,16,0.0037927238890977,1.0872644022556393,0.0041234007463935,286.791495932691,0.4587549429879916,0.4195478111088104
CONV2D,1,AMD,20T,20,0.0031414105815047,0.9009298228840126,0.0028301906321943,286.9578861795057,1.0544353068362704,0.980552327280328
CONV2D,1,AMD,32T,32,0.0021982584226579,0.5786336383442265,0.0012720885942809,263.16936510167466,0.3966863112912115,0.491691503939778
CONV2D,1,AMD,64T,64,0.0022112709112554,0.5902663311688312,0.0013048297345362,266.8463417738949,0.2224800871281186,0.315187889376181
CONV2D,1,INTEL,1T,1,0.0365683902321428,2.179030055555556,0.0799133954558941,59.62243591625499,0.5893582845234604,0.2569775664202688
CONV2D,1,INTEL,2T,2,0.0189302079629629,1.490594461538462,0.0283762207198502,78.83650380282948,1.357525605383527,1.3789414084046046
CONV2D,1,INTEL,4T,4,0.0098639487621359,1.03561042,0.010355170688908,106.54885545996136,2.3013236624733664,2.272828917489201
CONV2D,1,INTEL,8T,8,0.005496807090909,0.8130311546391753,0.0044813889019571,148.51810877382383,2.2832268526006563,0.7853808571164745
CONV2D,1,INTEL,10T,10,0.0045561655357142,0.7349544012605043,0.0034123337262602,163.95389988189004,6.685465901739438,1.0859097050646702
CONV2D,1,INTEL,16T,16,0.0051019395048309,0.7997979468599035,0.0040843886977572,156.38492820045775,4.42627611347968,0.8332246805099726
CONV2D,1,INTEL,20T,20,0.0045348652400881,0.7182687139639639,0.0032550984654399,159.03307540352688,0.7814565497569773,1.655884468556129
CONV2D,2,3090,gpu_resident,-1,0.0002893070187211,0.0979851670506912,2.8346523125624988e-05,338.70446509467223,0.3470281300613126,0.5139347521796982
CONV2D,2,5060ti,gpu_resident,-1,0.0005828563919627,0.0924463869463869,5.388019495007685e-05,158.61736335242776,0.0102152767540136,0.148561849399974
CONV2D,2,AMD,1T,1,0.0337962657833333,2.5258530500000003,0.0853674391548843,74.65409722663824,2.906328305687952,2.231226950858773
CONV2D,2,AMD,2T,2,0.016445322,1.51065818852459,0.0248261308035333,92.45447955649546,2.951392327497926,1.6693217519359609
CONV2D,2,AMD,4T,4,0.0075068488571428,0.9603028421052632,0.0072173419232179,127.98004154986369,0.5336650586019731,0.2916244882009061
CONV2D,2,AMD,8T,8,0.0038291366278195,0.7276963679245283,0.0027802654705793,189.8552015004529,0.529670283812724,0.3168980182893113
CONV2D,2,AMD,10T,10,0.0031099920869565,0.6817055,0.0021216440558077,219.5064286386562,0.4418234466517069,1.026281890162384
CONV2D,2,AMD,16T,16,0.0019994620266798,0.5726117303149607,0.0011450699887862,286.55038820481434,0.0383774787373959,0.1285053705664635
CONV2D,2,AMD,20T,20,0.0016444488265802,0.4716930081037277,0.0007756750110339,286.86547553692867,0.4608614403642444,0.3993374771698637
CONV2D,2,AMD,32T,32,0.0011579776864988,0.3157316819221968,0.0003656102609874,272.45141762693095,0.909076004674832,1.4303547617147043
CONV2D,2,AMD,64T,64,0.001190527613744,0.3022220253537735,0.0003594420046951,254.3251383528488,0.3226298049005041,0.3645354646852958
