workload,size,platform,runtime,runtime_cfg,energy,energy_cfg,edp,edp_cfg
REDUCTION,32000000,INTEL,0.0029181511627906,8T,0.2542132575301205,4T,0.0007651708024782,4T
REDUCTION,64000000,3090,0.0002925112850248,gpu_resident,0.1034283625730994,gpu_resident,3.0250734289870027e-05,gpu_resident
REDUCTION,64000000,5060ti,0.0006085138339416,gpu_resident,0.0510550486618004,gpu_resident,3.106664062597086e-05,gpu_resident
REDUCTION,64000000,AMD,0.0044621311111111,10T,0.4779265810810811,4T,0.0023010112070113,10T
REDUCTION,64000000,INTEL,0.0061814104938271,8T,0.514445896875,4T,0.0032227431056865,4T
REDUCTION,128000000,3090,0.0005799773257971,gpu_resident,0.2053828985507246,gpu_resident,0.0001191174242659,gpu_resident
REDUCTION,128000000,5060ti,0.0012090710458937,gpu_resident,0.1017971014492753,gpu_resident,0.0001230780165792,gpu_resident
REDUCTION,128000000,AMD,0.0091114272727272,16T,0.9306546354166668,4T,0.0093643146659794,8T
REDUCTION,128000000,INTEL,0.012714582278481,8T,1.0599021153846155,4T,0.0135882984199358,4T
REDUCTION,256000000,3090,0.0011548805571593,gpu_resident,0.4099105080831409,gpu_resident,0.0004734121106324,gpu_resident
REDUCTION,256000000,5060ti,0.0024108137458033,gpu_resident,0.2025132211538461,gpu_resident,0.0004882656682292,gpu_resident
REDUCTION,256000000,AMD,0.018131875,16T,1.8167373775510205,4T,0.0347513235179512,8T
REDUCTION,256000000,INTEL,0.0257376666666666,8T,2.126006320512821,4T,0.0549301704329155,4T
STREAM,1000000,3090,1.538917117033889e-05,gpu_resident,0.0053469386183744,gpu_resident,8.214436896471798e-08,gpu_resident
STREAM,1000000,5060ti,8.18810284123475e-06,gpu_resident,0.0011669327765495,gpu_resident,9.55494169609149e-09,gpu_resident
STREAM,1000000,AMD,2.1910510621626327e-05,16T,0.0038193342316539,10T,8.549286313311295e-08,16T
STREAM,1000000,INTEL,5.226265657620041e-05,10T,0.0077692344628316,10T,4.07646423210429e-07,10T
STREAM,2000000,3090,3.152441523233088e-05,gpu_resident,0.0109568911165752,gpu_resident,3.454095852143541e-07,gpu_resident
STREAM,2000000,5060ti,1.4329228101849862e-05,gpu_resident,0.0021483758185387,gpu_resident,3.0784259313594294e-08,gpu_resident
STREAM,2000000,AMD,3.01567331193498e-05,20T,0.0066708533772163,16T,2.0201543908535025e-07,16T
STREAM,2000000,INTEL,0.0002424371822803,10T,0.0320214308588064,10T,7.783918877574129e-06,10T
STREAM,4000000,3090,5.9670525059665874e-05,gpu_resident,0.0211038062283737,gpu_resident,1.2592659558261002e-06,gpu_resident
STREAM,4000000,5060ti,9.55852901870943e-05,gpu_resident,0.0104232127517419,gpu_resident,9.969733226127186e-07,gpu_resident
STREAM,4000000,AMD,4.327333956571623e-05,32T,0.0118554116430803,16T,5.143846433255903e-07,32T
STREAM,4000000,INTEL,0.0013120183486238,10T,0.1015006599025974,2T,0.0001390163113622,4T
STREAM,8000000,3090,0.0001164227770018,gpu_resident,0.0412695530726257,gpu_resident,4.800602780924658e-06,gpu_resident
STREAM,8000000,5060ti,0.0002428559980573,gpu_resident,0.0246636341581756,gpu_resident,5.9855624461018585e-06,gpu_resident
STREAM,8000000,AMD,8.388368542663805e-05,32T,0.023155995866043,32T,1.966296784424242e-06,32T
STREAM,8000000,INTEL,0.0031249561128526,8T,0.2299276766917293,2T,0.0007630202709502,4T
STREAM,16000000,3090,0.0002296336394948,gpu_resident,0.0812964408725602,gpu_resident,1.8668397595539813e-05,gpu_resident
STREAM,16000000,5060ti,0.0004848536112457,gpu_resident,0.0493795443528841,gpu_resident,2.394138365316744e-05,gpu_resident
STREAM,16000000,AMD,0.0035483085106382,10T,0.4171638286219081,10T,0.001469303293958,10T
STREAM,16000000,INTEL,0.0067363724832214,4T,0.4811020912698412,2T,0.003429599059385,4T
STREAM,32000000,3090,0.0004557578587699,gpu_resident,0.1612892938496583,gpu_resident,7.351051651454567e-05,gpu_resident
STREAM,32000000,5060ti,0.0009704689621726,gpu_resident,0.0978553398058252,gpu_resident,9.497065554156411e-05,gpu_resident
STREAM,32000000,AMD,0.0094632264150943,4T,0.9132863018867924,4T,0.0086588719473555,4T
STREAM,32000000,INTEL,0.0138260821917808,4T,0.9793557983870969,2T,0.0144909785096245,4T
STREAM,64000000,3090,0.0009091030881017,gpu_resident,0.3208197093551317,gpu_resident,0.0002916535732239,gpu_resident
STREAM,64000000,5060ti,0.0019405116279069,gpu_resident,0.1960968992248062,gpu_resident,0.0003805283131422,gpu_resident
STREAM,64000000,AMD,0.0187388425925925,4T,1.6901122685185186,4T,0.0316989788981372,4T
STREAM,64000000,INTEL,0.0280920833333333,4T,1.9753091612903224,2T,0.0600688546593402,4T
STREAM,128000000,3090,0.0018103218806509,gpu_resident,0.639745931283906,gpu_resident,0.001158873725075,gpu_resident
STREAM,128000000,5060ti,0.0038822480620155,gpu_resident,0.3926027131782945,gpu_resident,0.0015242648167552,gpu_resident
STREAM,128000000,AMD,0.0370681296296296,4T,3.4010507142857147,4T,0.1259528723605483,4T
STREAM,128000000,INTEL,0.0566616111111111,4T,3.98362475,2T,0.245704735751233,4T
